pitches,player_id,total_pitches,pitch_percent,ba,iso,babip,slg,woba,xwoba,xba,hits,abs,launch_speed,launch_angle,spin_rate,velocity,effective_speed,whiffs,swings,takes,player
22372,112526,22372,100,0.278,0.169,0.303,0.447,0.325,0.333,0.279,1655,5946,89.0,11.9,2122.0,88.4,85.21,1419,10490,11804,Bartolo Colon
22362,621244,22362,100,0.246,0.159,0.292,0.405,0.31,0.32,0.25,1309,5331,87.9,13.4,2135.0,88.9,88.91,2460,10529,11831,José Berríos
22318,421685,22318,100,0.275,0.172,0.31,0.447,0.338,0.345,0.268,1429,5196,90.0,16.6,2174.0,86.9,86.49,1963,10549,11626,Aaron Harang
22240,433579,22240,100,0.261,0.162,0.292,0.423,0.326,0.323,0.255,1380,5278,87.3,16.1,2130.0,87.0,84.04,2158,10517,11673,John Danks
22205,592662,22205,100,0.235,0.183,0.305,0.417,0.318,0.31,0.228,1116,4758,89.6,14.8,2210.0,90.3,90.16,3130,10448,11739,Robbie Ray
22064,424324,22064,100,0.248,0.122,0.305,0.37,0.284,,,1417,5703,,,,88.3,,2084,10894,11154,Cliff Lee
21989,346798,21989,100,0.267,0.158,0.291,0.424,0.32,0.364,0.289,1448,5431,88.3,13.5,2011.0,86.2,83.77,1679,9787,12145,Kyle Lohse
21854,444857,21854,100,0.268,0.153,0.292,0.422,0.326,0.326,0.271,1354,5050,86.3,8.8,2254.0,86.6,85.18,1598,9602,12173,Scott Feldman
21643,276520,21643,100,0.266,0.185,0.279,0.452,0.331,0.368,0.29,1447,5430,88.6,19.8,2118.0,81.3,76.18,1574,9758,11781,Bronson Arroyo
21549,462136,21549,100,0.236,0.189,0.266,0.425,0.311,0.304,0.227,1161,4915,87.5,21.9,2309.0,84.8,82.52,2478,10286,11235,Marco Estrada
21513,594798,21513,100,0.211,0.117,0.288,0.327,0.255,0.257,0.207,1066,5058,86.8,11.7,2302.0,92.6,93.94,3446,11117,10374,Jacob deGrom
21496,502171,21496,100,0.256,0.138,0.301,0.395,0.308,0.327,0.27,1320,5148,89.0,4.7,2044.0,88.4,87.8,2070,9633,11836,Alex Cobb
21338,408241,21338,100,0.246,0.153,0.288,0.4,0.307,0.327,0.25,1225,4978,88.5,17.7,2434.0,87.8,85.89,2187,10216,11076,Jake Peavy
21312,453329,21312,100,0.255,0.141,0.291,0.396,0.314,0.317,0.256,1292,5075,87.7,12.9,2215.0,87.5,85.88,2099,9761,11517,Clay Buchholz
21142,502032,21142,100,0.26,0.162,0.311,0.421,0.331,0.32,0.249,1231,4742,89.5,10.7,2386.0,90.4,90.68,2316,9721,11347,Bud Norris
21033,407822,21033,100,0.254,0.157,0.299,0.411,0.327,0.325,0.252,1196,4701,87.5,8.9,1769.0,87.9,85.41,2392,9736,11224,Jorge De La Rosa
20987,622072,20987,100,0.252,0.136,0.307,0.388,0.306,0.311,0.251,1240,4917,87.9,8.8,1940.0,87.3,86.88,2321,9797,11163,Alex Wood
20845,493133,20845,100,0.249,0.137,0.284,0.386,0.296,,,1281,5150,,,,89.0,,2199,9870,10864,Hiroki Kuroda
20806,467100,20806,100,0.277,0.174,0.307,0.451,0.336,0.339,0.277,1470,5305,89.3,8.8,2194.0,89.1,88.22,1878,9798,10955,Iván Nova
20745,476451,20745,100,0.249,0.182,0.271,0.431,0.319,0.338,0.267,1211,4865,87.8,14.3,2181.0,85.7,84.13,2096,9656,11025,Jeremy Hellickson
20565,622491,20565,100,0.227,0.157,0.284,0.383,0.294,0.292,0.226,1052,4643,87.8,9.5,2162.0,92.3,91.0,3035,10235,10328,Luis Castillo
20434,461833,20434,100,0.274,0.178,0.309,0.452,0.332,0.376,0.306,1358,4952,90.5,16.8,2124.0,88.4,86.54,1847,10249,10127,Phil Hughes
20303,453385,20303,100,0.279,0.154,0.308,0.433,0.336,0.332,0.275,1406,5037,88.9,1.6,2120.0,88.3,86.24,1622,9414,10819,Clayton Richard
20263,431148,20263,100,0.25,0.163,0.291,0.413,0.324,0.318,0.247,1120,4482,86.8,13.1,2007.0,87.9,85.93,2089,9474,10753,Scott Kazmir
20067,501957,20067,100,0.26,0.181,0.287,0.441,0.335,0.35,0.272,1157,4445,89.6,12.7,2150.0,87.5,87.63,1699,9113,10930,Chris Tillman
20034,475416,20034,100,0.26,0.118,0.312,0.378,0.322,0.334,0.252,1192,4593,88.5,4.9,1970.0,89.8,85.29,1883,8969,10982,Justin Masterson
19863,592351,19863,100,0.256,0.16,0.313,0.417,0.318,0.314,0.252,1202,4687,88.5,10.7,2161.0,90.8,91.21,2456,9501,10351,Jon Gray
19861,605483,19861,100,0.211,0.132,0.288,0.343,0.285,0.295,0.216,869,4110,87.4,12.5,2310.0,90.2,90.59,2988,8953,10908,Blake Snell
19809,518633,19809,100,0.25,0.159,0.295,0.409,0.317,0.325,0.251,1121,4486,88.4,16.2,2275.0,89.0,89.38,2185,9457,10342,Danny Duffy
19775,592767,19775,100,0.25,0.189,0.292,0.44,0.322,0.321,0.245,1108,4425,87.6,17.5,2078.0,86.1,84.69,2356,9357,10398,Drew Smyly
19714,434578,19714,100,0.283,0.167,0.301,0.45,0.344,,,1355,4788,,,,86.8,,1325,8665,10987,Joe Saunders
19711,519043,19711,100,0.249,0.165,0.294,0.415,0.322,0.329,0.249,1111,4458,88.5,16.0,2229.0,89.2,87.89,2273,9346,10335,Matt Moore
19646,488768,19646,100,0.259,0.152,0.295,0.41,0.321,0.338,0.267,1180,4558,88.8,10.7,2070.0,90.9,89.06,1725,8869,10707,Andrew Cashner
19589,593958,19589,100,0.248,0.153,0.303,0.401,0.309,0.304,0.236,1091,4399,86.6,13.0,2134.0,90.5,90.13,2264,9323,10261,Eduardo Rodriguez
19507,133225,19507,100,0.25,0.152,0.299,0.401,0.319,,,1112,4456,,,,87.9,,2201,8864,10587,Ryan Dempster
19243,543699,19243,100,0.254,0.149,0.292,0.404,0.311,0.326,0.258,1124,4419,87.5,11.8,2158.0,88.1,87.15,1816,8771,10439,Tanner Roark
19068,477003,19068,100,0.275,0.147,0.316,0.422,0.33,0.332,0.268,1284,4672,88.3,5.9,1991.0,86.4,85.99,1555,8784,10228,Jonathon Niese
19010,448179,19010,100,0.232,0.15,0.29,0.382,0.305,0.306,0.229,988,4252,87.3,15.0,2531.0,81.7,80.87,2000,8450,10528,Rich Hill
18944,430599,18944,100,0.274,0.176,0.309,0.45,0.332,0.299,0.245,1275,4659,88.0,15.2,2177.0,86.5,86.2,1872,8724,10090,Joe Blanton
18859,571666,18859,100,0.254,0.182,0.287,0.436,0.322,0.331,0.256,1125,4424,88.3,14.9,2262.0,85.0,84.47,1781,8747,10087,Mike Fiers
18853,445926,18853,100,0.261,0.168,0.305,0.429,0.322,0.322,0.257,1149,4402,88.5,12.1,2228.0,89.1,88.56,1837,8563,10190,Jesse Chavez
18834,592836,18834,100,0.245,0.167,0.281,0.412,0.314,0.325,0.251,1067,4355,89.0,12.0,2024.0,89.8,89.27,1905,8644,10173,Taijuan Walker
18817,218596,18817,100,0.249,0.117,0.28,0.367,0.297,0.346,0.29,1198,4802,90.1,4.4,2000.0,87.1,83.84,1715,8781,9935,Tim Hudson
18668,640455,18668,100,0.244,0.164,0.288,0.408,0.308,0.318,0.25,1081,4429,89.3,13.2,1847.0,88.1,88.95,2323,9357,9310,Sean Manaea
18651,502624,18651,100,0.252,0.194,0.281,0.447,0.33,0.325,0.248,1054,4175,86.8,16.0,2212.0,87.6,86.6,1950,8748,9888,Chase Anderson
